year,country_iso3,oecd_sector,geds_sector,gross_output_usd_m,value_added_usd_m,intermediate_inputs_usd_m,final_demand_total_usd_m,domestic_final_demand_usd_m,foreign_final_demand_exports_usd_m,exports_total_usd_m,imports_total_usd_m,source_file
2016,AGO,A01,agriculture,10487.1918,6550.6477,3924.2262,8060.590900000009,8054.300399999999,6.29050000001007,9.950400000047011,343.5953000000013,2016_SML.csv
2016,AGO,A02,agriculture,732.5762,524.6574,207.3094,590.5203999999992,590.1474,0.3729999999992515,1.2810000000011144,26.232599999999934,2016_SML.csv
2016,AGO,A03,agriculture,1646.6179,1119.1403,525.3949000000001,1309.6357999999993,1293.3862000000001,16.24959999999919,43.33629999999613,75.56169999999992,2016_SML.csv
2016,AGO,B05,,49.2817,33.0181,16.241799999999998,42.31000000000015,42.257299999999994,0.05270000000015784,0.2535000000001455,0.5209999999999972,2016_SML.csv
2016,AGO,B06,oil,36021.3926,28327.1143,7692.080600000002,956.0348000000001,733.0067,223.0281000000001,23582.49980000003,148.67079999999987,2016_SML.csv
2016,AGO,B07,,49.5546,35.977,13.5528,2.859400000000013,2.7788000000000004,0.08060000000001244,0.3400000000007082,0.4135999999999953,2016_SML.csv
2016,AGO,B08,,12264.1107,7758.8067,4499.553800000001,375.7421999999993,361.79040000000003,13.951799999999253,905.6555999998476,66.50310000000081,2016_SML.csv
2016,AGO,B09,,5642.3369,4229.1926,1412.0868999999996,1260.2221999999979,1248.2129,12.009299999997893,205.11000000005515,48.43499999999949,2016_SML.csv
2016,AGO,C10T12,consumer_goods,2983.1534,1253.0767,1726.5248,2839.9252000000024,2762.4737999999998,77.45140000000265,107.96020000000439,127.24119999999925,2016_SML.csv
2016,AGO,C13T15,consumer_goods,1090.5917,602.0712,485.00069999999994,1043.473099999998,1034.7485000000001,8.724599999997963,11.329599999999544,104.78399999999999,2016_SML.csv
2016,AGO,C16,consumer_goods,47.1954,23.0527,24.0577,15.750499999999999,3.0721,12.6784,43.82169999999989,3.368899999999993,2016_SML.csv
2016,AGO,C17_18,consumer_goods,187.0099,85.6254,100.80220000000004,156.31490000000022,146.2995,10.015400000000227,13.055200000000031,14.005000000000024,2016_SML.csv
2016,AGO,C19,oil,3310.7299,1016.4777,2294.0888000000004,2240.864400000002,2139.6171999999997,101.24720000000252,318.85989999999924,3.8274000000010346,2016_SML.csv
2016,AGO,C20,consumer_goods,975.6602,442.1385,532.6529000000002,634.2981999999998,604.432,29.86619999999982,148.40519999999722,16.579600000000028,2016_SML.csv
2016,AGO,C21,consumer_goods,329.8939,200.5258,128.8106,320.63539999999944,320.01779999999997,0.6175999999994701,0.9700999999993911,32.36580000000001,2016_SML.csv
2016,AGO,C22,consumer_goods,218.0003,105.4995,111.6895,170.17370000000005,167.4865,2.687200000000047,8.382500000000974,29.81840000000001,2016_SML.csv
2016,AGO,C23,consumer_goods,355.8851,185.6901,169.8949,229.05630000000008,218.0182,11.038100000000071,48.27400000000101,1.554399999999987,2016_SML.csv
2016,AGO,C24A,,166.7289,61.9124,104.67180000000003,7.436300000000001,6.992100000000001,0.4442000000000004,43.84820000000203,14.776200000000031,2016_SML.csv
2016,AGO,C24B,,40.2809,16.2153,24.0338,23.991199999999985,23.7664,0.22479999999998412,1.7454999999998257,0.8308999999999962,2016_SML.csv
