year,country_iso3,wiod_sector,wiod_sector_name,geds_sector,gross_output_usd_m,value_added_usd_m,intermediate_inputs_usd_m,source_file
2014,AUS,A01,"Crop and animal production, hunting and related service activities",agriculture,70292.03449229615,30489.19020396576,39039.23889719337,WIOT2014_Nov16_ROW.xlsb
2014,AUS,A02,Forestry and logging,agriculture,2585.3796854828192,1569.8989394530902,925.1227403984241,WIOT2014_Nov16_ROW.xlsb
2014,AUS,A03,Fishing and aquaculture,agriculture,3175.044396357493,1894.7384651530315,1204.706017805077,WIOT2014_Nov16_ROW.xlsb
2014,AUS,B,Mining and quarrying,oil,171985.12232699487,98315.11987397016,72425.87198273232,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C10-C12,"Manufacture of food products, beverages and tobacco products",consumer_goods,83504.03658421464,24247.39617801595,58384.50168847773,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C13-C15,"Manufacture of textiles, wearing apparel and leather products",consumer_goods,5064.024116346062,2335.770879055502,2605.2095972316642,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufact",consumer_goods,8999.775281756543,3382.997588963426,5553.244913233897,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C17,Manufacture of paper and paper products,consumer_goods,7925.2296141988445,2463.259348087771,5385.554660946538,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C18,Printing and reproduction of recorded media,consumer_goods,7784.081666341691,3042.4212502629375,4671.908312017449,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C19,Manufacture of coke and refined petroleum products ,oil,24455.020256154203,3751.803517235343,19239.522784215555,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C20,Manufacture of chemicals and chemical products ,consumer_goods,16160.984713683432,5333.571165157138,10468.847540390536,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,consumer_goods,9784.739998226658,3360.2317909219487,6321.730740004585,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C22,Manufacture of rubber and plastic products,consumer_goods,10784.61384820831,4251.740442226176,6324.447737974651,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C23,Manufacture of other non-metallic mineral products,consumer_goods,15538.112479268631,5473.808481092642,9868.065376990076,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C24,Manufacture of basic metals,consumer_goods,43584.66503444618,4766.247477963553,37334.75130900781,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C25,"Manufacture of fabricated metal products, except machinery and equipment",consumer_goods,26102.35340243545,10112.567490023932,15617.106826996753,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C26,"Manufacture of computer, electronic and optical products",electronics,6032.936480991308,4016.797406438137,1926.685052703261,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C27,Manufacture of electrical equipment,electronics,6013.8132106364665,2265.652221087755,3637.6790150544043,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C28,Manufacture of machinery and equipment n.e.c.,consumer_goods,13821.57130694129,4993.9054583783145,8586.62245497596,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C29,"Manufacture of motor vehicles, trailers and semi-trailers",automotive,14087.475828065739,3167.177823530229,10571.161754150407,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C30,Manufacture of other transport equipment,aerospace,10714.495190240563,3581.5153478851016,6918.039940091633,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C31_C32,Manufacture of furniture; other manufacturing,consumer_goods,5695.092038055795,2161.840182018621,3448.1590346811317,WIOT2014_Nov16_ROW.xlsb
2014,AUS,C33,Repair and installation of machinery and equipment,consumer_goods,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUS,D35,"Electricity, gas, steam and air conditioning supply",utilities,58881.746428369544,22113.170636002407,36411.9795577746,WIOT2014_Nov16_ROW.xlsb
2014,AUS,E36,"Water collection, treatment and supply",utilities,16475.4599805394,10234.918099283512,6145.734387650603,WIOT2014_Nov16_ROW.xlsb
2014,AUS,E37-E39,"Sewerage; waste collection, treatment and disposal activities; materials recover",utilities,4247.069855140801,3357.6873480463732,850.5749122338195,WIOT2014_Nov16_ROW.xlsb
2014,AUS,F,Construction,,388428.56238348474,119992.65871174823,264704.23705085355,WIOT2014_Nov16_ROW.xlsb
2014,AUS,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,consumer_goods,16037.79765285644,6931.473216055322,8769.61579826679,WIOT2014_Nov16_ROW.xlsb
2014,AUS,G46,"Wholesale trade, except of motor vehicles and motorcycles",consumer_goods,122996.74078191459,59177.72939809531,63136.79327418034,WIOT2014_Nov16_ROW.xlsb
2014,AUS,G47,"Retail trade, except of motor vehicles and motorcycles",consumer_goods,106061.06336455871,64839.26067341695,40790.254948962014,WIOT2014_Nov16_ROW.xlsb
2014,AUS,H49,Land transport and transport via pipelines,shipping,63815.32431017686,27824.254806716843,34919.82077256825,WIOT2014_Nov16_ROW.xlsb
2014,AUS,H50,Water transport,shipping,8193.515669257882,3461.919195011759,4552.4347035039955,WIOT2014_Nov16_ROW.xlsb
2014,AUS,H51,Air transport,aviation,22758.435814441662,6222.247319119544,16078.553837537751,WIOT2014_Nov16_ROW.xlsb
2014,AUS,H52,Warehousing and support activities for transportation,ports,50759.46947366975,27037.036479127742,23682.434742658377,WIOT2014_Nov16_ROW.xlsb
2014,AUS,H53,Postal and courier activities,telecommunications,11041.31249643112,4605.457397193834,6189.2335064511935,WIOT2014_Nov16_ROW.xlsb
2014,AUS,I,Accommodation and food service activities,tourism,77107.08224073699,36235.24581319798,38086.20206774551,WIOT2014_Nov16_ROW.xlsb
2014,AUS,J58,Publishing activities,telecommunications,10601.55535202874,6370.642912523376,4195.356084403471,WIOT2014_Nov16_ROW.xlsb
2014,AUS,J59_J60,"Motion picture, video and television programme production, sound recording and m",telecommunications,16208.008809902825,7010.763961594307,9113.241922498664,WIOT2014_Nov16_ROW.xlsb
2014,AUS,J61,Telecommunications,telecommunications,48156.52229274655,20233.039619861498,27440.964402369813,WIOT2014_Nov16_ROW.xlsb
2014,AUS,J62_J63,"Computer programming, consultancy and related activities; information service ac",telecommunications,49016.90971403993,26689.091942022158,22262.92238545435,WIOT2014_Nov16_ROW.xlsb
2014,AUS,K64,"Financial service activities, except insurance and pension funding",banking,113051.2418371218,87369.98942394291,24350.732257921525,WIOT2014_Nov16_ROW.xlsb
2014,AUS,K65,"Insurance, reinsurance and pension funding, except compulsory social security",insurance,46259.93095289796,16605.595434689178,28272.26102431498,WIOT2014_Nov16_ROW.xlsb
2014,AUS,K66,Activities auxiliary to financial services and insurance activities,capital_markets,41674.80385525989,21995.744847179725,19492.172073057594,WIOT2014_Nov16_ROW.xlsb
2014,AUS,L68,Real estate activities,,235478.70648147646,165036.42356906636,68697.32824890515,WIOT2014_Nov16_ROW.xlsb
2014,AUS,M69_M70,Legal and accounting activities; activities of head offices; management consulta,,140122.71597658657,67624.9329928765,72000.71948065891,WIOT2014_Nov16_ROW.xlsb
2014,AUS,M71,Architectural and engineering activities; technical testing and analysis,,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUS,M72,Scientific research and development,,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUS,M73,Advertising and market research,,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUS,M74_M75,"Other professional, scientific and technical activities; veterinary activities",,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUS,N,Administrative and support service activities,,95209.12854368167,46140.66507633089,48825.23188459777,WIOT2014_Nov16_ROW.xlsb
2014,AUS,O84,Public administration and defence; compulsory social security,government,126612.94591095638,76666.49405898355,49472.229573547986,WIOT2014_Nov16_ROW.xlsb
2014,AUS,P85,Education,government,92706.60889821686,69726.46505710906,22713.34695932195,WIOT2014_Nov16_ROW.xlsb
2014,AUS,Q,Human health and social work activities,,130374.3787503342,96115.01954594461,33515.27928488786,WIOT2014_Nov16_ROW.xlsb
2014,AUS,R_S,Other service activities,,56474.9392111936,22806.356434281457,33109.34616434859,WIOT2014_Nov16_ROW.xlsb
2014,AUS,T,Activities of households as employers; undifferentiated goods- and services-prod,,10894.637696861722,9748.543384691862,1124.8233799642603,WIOT2014_Nov16_ROW.xlsb
2014,AUS,U,Activities of extraterritorial organizations and bodies,,0.0,0.0,0.0,WIOT2014_Nov16_ROW.xlsb
2014,AUT,A01,"Crop and animal production, hunting and related service activities",agriculture,9381.734149999998,3808.0124000000005,5401.603134701504,WIOT2014_Nov16_ROW.xlsb
2014,AUT,A02,Forestry and logging,agriculture,3294.01575,1628.2096,1619.077307084834,WIOT2014_Nov16_ROW.xlsb
2014,AUT,A03,Fishing and aquaculture,agriculture,89.80659999999999,28.961299999999994,58.28886803765634,WIOT2014_Nov16_ROW.xlsb
2014,AUT,B,Mining and quarrying,oil,3412.78365,1837.3155000000002,1513.7360571793224,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C10-C12,"Manufacture of food products, beverages and tobacco products",consumer_goods,27457.30515,7300.107500000005,19832.43034547559,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C13-C15,"Manufacture of textiles, wearing apparel and leather products",consumer_goods,4261.9608499999995,1429.9973999999995,2712.7883755520384,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufact",consumer_goods,10278.0731,2648.7633000000023,7460.609474172964,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C17,Manufacture of paper and paper products,consumer_goods,8179.0431,2237.991100000003,5807.087898723884,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C18,Printing and reproduction of recorded media,consumer_goods,3399.8971999999994,1291.1691500000002,2064.165293853285,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C19,Manufacture of coke and refined petroleum products ,oil,7412.4986,157.69295000000216,6961.902282082059,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C20,Manufacture of chemicals and chemical products ,consumer_goods,18165.3776,2634.8140500000013,14868.688546996987,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,consumer_goods,5937.863600000001,2828.5093500000003,2959.61220169039,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C22,Manufacture of rubber and plastic products,consumer_goods,8025.999899999999,3097.9291500000018,4746.81336684003,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C23,Manufacture of other non-metallic mineral products,consumer_goods,8726.3851,3343.170250000001,5207.143151896941,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C24,Manufacture of basic metals,consumer_goods,20039.3597,4903.227799999999,14644.04566322752,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C25,"Manufacture of fabricated metal products, except machinery and equipment",consumer_goods,18991.7046,7373.042149999997,11287.118685730497,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C26,"Manufacture of computer, electronic and optical products",electronics,7901.918,4062.154449999999,3690.681907165357,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C27,Manufacture of electrical equipment,electronics,13492.11315,5803.286549999996,7421.446031486306,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C28,Manufacture of machinery and equipment n.e.c.,consumer_goods,28271.144249999998,10096.334300000004,17603.309813174277,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C29,"Manufacture of motor vehicles, trailers and semi-trailers",automotive,19785.21765,5139.435100000005,14036.041828920685,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C30,Manufacture of other transport equipment,aerospace,3582.4330999999997,1172.0027000000011,2315.5617733657887,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C31_C32,Manufacture of furniture; other manufacturing,consumer_goods,8543.3178,3251.9023000000007,5086.458068420704,WIOT2014_Nov16_ROW.xlsb
2014,AUT,C33,Repair and installation of machinery and equipment,consumer_goods,7942.8358,3120.9122000000016,4678.921583742335,WIOT2014_Nov16_ROW.xlsb
2014,AUT,D35,"Electricity, gas, steam and air conditioning supply",utilities,27118.27195,6558.273100000012,20261.051294844016,WIOT2014_Nov16_ROW.xlsb
2014,AUT,E36,"Water collection, treatment and supply",utilities,1236.43495,737.1846499999999,484.6463873536127,WIOT2014_Nov16_ROW.xlsb
2014,AUT,E37-E39,"Sewerage; waste collection, treatment and disposal activities; materials recover",utilities,8848.8728,3353.9311000000002,5366.919963320995,WIOT2014_Nov16_ROW.xlsb
2014,AUT,F,Construction,,62954.958,24897.551349999983,37294.78973589526,WIOT2014_Nov16_ROW.xlsb
2014,AUT,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,consumer_goods,11459.906700000001,5815.375899999999,5487.088293569755,WIOT2014_Nov16_ROW.xlsb
2014,AUT,G46,"Wholesale trade, except of motor vehicles and motorcycles",consumer_goods,41317.54565,23033.665849999994,17959.885373005258,WIOT2014_Nov16_ROW.xlsb
2014,AUT,G47,"Retail trade, except of motor vehicles and motorcycles",consumer_goods,29465.0672,18347.913500000002,10841.652118998365,WIOT2014_Nov16_ROW.xlsb
2014,AUT,H49,Land transport and transport via pipelines,shipping,21605.262649999997,11198.192200000001,9847.84834332679,WIOT2014_Nov16_ROW.xlsb
2014,AUT,H50,Water transport,shipping,136.43695,48.0917,87.35996625382579,WIOT2014_Nov16_ROW.xlsb
